Filename,Configurable,References,Source_Files
"basins_carbon.tes",No,1,"carbon_read.f90"
"carb_coefs.cbn",No,1,"carbon_coef_read.f90"
"co2_yr.dat",No,1,"co2_read.f90"
"cs_aqu.ini",No,1,"cs_aqu_read.f90"
"cs_atmo.cli",No,1,"cli_read_atmodep_cs.f90"
"cs_channel.ini",No,1,"cs_cha_read.f90"
"cs_hru.ini",No,1,"cs_hru_read.f90"
"cs_irrigation",No,1,"cs_irr_read.f90"
"cs_plants_boron",No,1,"cs_plant_read.f90"
"cs_reactions",No,1,"cs_reactions_read.f90"
"cs_recall.rec",No,1,"recall_read_cs.f90"
"cs_res",No,1,"res_read_csdb.f90"
"cs_streamobs",No,1,"cs_cha_read.f90"
"cs_streamobs_output",No,1,"cs_cha_read.f90"
"cs_uptake",No,1,"cs_uptake_read.f90"
"cs_urban",No,1,"cs_urban_read.f90"
"element.ccu",No,1,"ch_read_elements.f90"
"fertilizer.frt_cs",No,1,"cs_fert_read.f90"
"file.cio",No,1,"readcio_read.f90"
"gwflow.chancells",No,2,"basin_read_objs.f90; gwflow_chan_read.f90"
"gwflow.con",Yes,1,"gwflow_chan_read.f90"
"gwflow_daily_cell_balance",No,1,"gwflow_simulate.f90"
"gwflow_daily_hru_recharge",No,1,"gwflow_rech.f90"
"gwflow_head_daily",No,1,"gwflow_simulate.f90"
"hru-lte-new.cal",No,1,"header_write.f90"
"hru-lte-out.cal",No,1,"header_write.f90"
"hru-new.cal",No,1,"header_write.f90"
"hru-out.cal",No,1,"header_write.f90"
"hydrology-cal.hyd",No,1,"header_write.f90"
"initial.aqu_cs",No,1,"aqu_read_init_cs.f90"
"initial.cha_cs",No,1,"ch_read_init_cs.f90"
"looping.con",No,1,"hyd_connect.f90"
"manure.frt",No,1,"manure_parm_read.f90"
"manure_allo.mnu",No,1,"manure_allocation_read.f90"
"nutbal.sd",No,1,"output_landscape_init.f90"
"nutbal_aa.sd",No,1,"output_landscape_init.f90"
"nutrients.rte",No,1,"rte_read_nut.f90"
"object_prt.swf",No,1,"swift_output.f90"
"om_osrc.wal",No,1,"om_osrc_read.f90"
"om_treat.wal",No,1,"om_treat_read.f90"
"om_use.wal",No,1,"om_use_read.f90"
"out.key",No,1,"gwflow_read.f90"
"outside_src.wal",No,1,"water_osrc_read.f90"
"pest.com",No,1,"recall_read.f90"
"pest_metabolite.pes",No,1,"pest_metabolite_read.f90"
"pet.cli",Yes,1,"basin_read_cc.f90"
"plant_parms.cal",No,1,"pl_write_parms_cal.f90"
"puddle.ops",No,1,"mgt_read_puddle.f90"
"recall_db.rec",No,1,"recall_read.f90"
"res_conds.dat",No,1,"res_read_conds.f90"
"reservoir.res_cs",No,1,"res_read_salt_cs.f90"
"salt_aqu.ini",No,1,"salt_aqu_read.f90"
"salt_atmo.cli",No,1,"cli_read_atmodep_salt.f90"
"salt_channel.ini",No,1,"salt_cha_read.f90"
"salt_fertilizer.frt",No,1,"salt_fert_read.f90"
"salt_hru.ini",Yes,1,"salt_hru_read.f90"
"salt_irrigation",No,1,"salt_irr_read.f90"
"salt_plants",No,1,"salt_plant_read.f90"
"salt_recall.rec",No,1,"recall_read_salt.f90"
"salt_res",No,1,"res_read_saltdb.f90"
"salt_road",No,1,"salt_roadsalt_read.f90"
"salt_uptake",No,1,"salt_uptake_read.f90"
"salt_urban",No,1,"salt_urban_read.f90"
"satbuffer.str",No,1,"sat_buff_read.f90"
"scen_dtl.upd",No,1,"cal_cond_read.f90"
"sed_nut.cha",No,1,"sd_hydsed_read.f90"
"soil_lyr_depths.sol",No,1,"soils_init.f90"
"transplant.plt",No,1,"plant_transplant_read.f90"
"water_pipe.wal",No,1,"water_pipe_read.f90"
"water_tower.wal",No,1,"water_tower_read.f90"
"water_treat.wal",No,1,"water_treatment_read.f90"
"water_use.wal",No,1,"water_use_read.f90"
"wetland.wet_cs",No,1,"wet_read_salt_cs.f90"
