Station,COMID,Type,Load
02042287,10061289,SPSED,1990,1030.4096
02042287,10061289,SPSED,1991,1346.0032
02042287,10061289,SPSED,1992,5003.05164
02042287,10061289,SPSED,1993,27501.11845
02042287,10061289,SPSED,1994,64675.59465
02042287,10061289,SPSED,1995,53460.21045
02042287,10061289,SPSED,1996,253570.30464
02042287,10061289,SPSED,1997,201026.90725
02042426,10061377,SPSED,1989,2662.70055
02042426,10061377,SPSED,1990,2963.17585
02042426,10061377,SPSED,1991,2144.40055
02042426,10061377,SPSED,1992,2251.03542
02042426,10061377,SPSED,1993,4095.28905
02042426,10061377,SPSED,1994,4619.2283
02042500,10067073,SPSED,1966,1136.8363
02042500,10067073,SPSED,1967,1337.65565
02042500,10067073,SPSED,1968,1178.53098
02042500,10067073,SPSED,1969,2527.9024
02042500,10067073,SPSED,1970,1515.73185
02042500,10067073,SPSED,1971,2158.32895
02042500,10067073,SPSED,1972,4057.13196
02042500,10067073,TN,1983,154.78555
02042500,10067073,TN,1984,610.80276
02042500,10067073,TN,1985,715.33795
02042500,10067073,TN,1995,9958.66
02042500,10067073,TN,1996,34803.8184
02042500,10067073,TN,1997,22332.6564
02042500,10067073,TN,1998,50425.918
02042500,10067073,TN,1999,52715.74185
02042500,10067073,TN,2000,55650.35124
02042500,10067073,TN,2001,41066.24125
02042500,10067073,TN,2002,35626.3798
02042500,10067073,TN,2003,233451.87205
02042500,10067073,TN,2004,237229.96014
02042500,10067073,TN,2005,88253.8975
02042500,10067073,TN,2006,157462.825
02042500,10067073,TN,2007,92820.0475
02042500,10067073,TN,2008,119572.41594
02042500,10067073,TN,1986,569.3562
02042500,10067073,TN,1987,1536.0806
02042500,10067073,TN,1988,1245.2418
02042500,10067073,TN,1989,4125.43805
02042500,10067073,TN,1990,4216.0639
02042500,10067073,TN,1991,3300.4541
02042500,10067073,TN,1992,6556.82778
02042500,10067073,TN,1993,12271.6212
02042500,10067073,TN,1994,15639.64045
02042500,10067073,SPSED,1973,2554.4598
02042500,10067073,SPSED,1974,2029.87815
02042500,10067073,SPSED,1975,3548.78185
02042500,10067073,SPSED,1976,1849.82988
02042500,10067073,SPSED,1977,1643.81035
02042500,10067073,SPSED,1978,3064.2115
02042500,10067073,SPSED,1979,4080.65255
02042500,10067073,SPSED,1980,2310.39696
02042500,10067073,SPSED,1981,762.6456
02042500,10067073,SPSED,1982,1974.28135
02042500,10067073,SPSED,1983,2415.0663
02042500,10067073,SPSED,1984,3162.67554
02042500,10067073,SPSED,1985,1823.9707
02042500,10067073,SPSED,1986,1196.9153
02042500,10067073,SPSED,1987,2178.3492
02042500,10067073,SPSED,1988,1147.43928
02042500,10067073,SPSED,1989,2352.6878
02042500,10067073,SPSED,1990,1766.01235
02042500,10067073,SPSED,1991,1064.59185
02042500,10067073,SPSED,1960,3918.86814
02042500,10067073,SPSED,1961,4566.65005
