Landuse, Area, sedyld, sedorgn, sedorgp, surqno3, lat3no3, surqsolp, sedmin, tileno3, precip, snofall, snomlt, surq_gen, latq, wateryld, perc, et, pet, qtile, irr, tilelabp
all, 372223.6, 0.9715914, 0.8290527, 0.1000488, 0.3626375, 1.156202, 0.1483755, 0.3222544, 0.3125722, 1237.134, 40.11158, 39.80915, 247.8978, 26.359, 278.8462, 238.6276, 759.9285, 944.8763, 4.589002, 0.4958435, 0.02385096
barren, 735.8888, 0.2378388, 0.3868361, 0.0469781, 0.5611835, 0.1028946, 0.1227759, 0.02281665, 0, 1231.238, 41.90884, 41.43351, 677.8462, 0.2757292, 678.1221, 223.251, 329.7336, 947.7602, 0, 0, 0
cropland, 32808.48, 9.824203, 6.554801, 0.7323957, 0.3536337, 0.4472751, 0.3416107, 3.184109, 3.54624, 1246.975, 36.57101, 36.17975, 128.8901, 4.086921, 185.0407, 506.8267, 560.6851, 945.8414, 52.06382, 5.625517, 0
frst, 144762.9, 0.02365111, 0.0322936, 0.003366331, 0.3546588, 1.748953, 0.1090572, 0.00285336, 0, 1235.845, 40.47361, 40.28066, 153.4272, 42.4487, 195.8757, 177.8066, 863.8094, 955.1907, 0, 0, 0
hay, 6705.204, 2.665902, 3.985073, 0.4288798, 0.09240225, 0.4698159, 0.02694026, 0.9091789, 0, 1246.843, 38.23132, 37.91453, 84.00154, 10.40551, 94.40701, 342.5642, 810.6339, 940.6419, 0, 0, 0
hort, 118.4141, 3.179698, 4.045419, 0.4650404, 0.1663456, 2.296475, 0.2495941, 1.295027, 0, 1267.811, 28.95922, 28.65255, 135.5542, 21.97484, 157.529, 394.0291, 717.9604, 915.5268, 0, 0, 0
legumehay, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
past, 9279.618, 0.07265075, 0.6112675, 0.05331933, 0.1584316, 0.7239193, 0.2085846, 0.5014855, 0, 1234.416, 41.08055, 40.76562, 67.79609, 9.243616, 77.03968, 316.2023, 842.0317, 953.4099, 0, 0, 0
rngb, 16845.69, 0.8482973, 2.178303, 0.2624278, 0.3684401, 1.739375, 0.05502104, 0.1966947, 0, 1247.871, 36.76323, 36.36983, 334.8703, 43.53278, 378.403, 313.5009, 556.1578, 952.3826, 0, 0, 0
urban, 96096.69, 0.01813912, 0.1837955, 0.04871863, 0.2382977, 0.08435386, 0.0579132, 0.008631426, 0, 1225.021, 44.38523, 44.03266, 251.8702, 6.560696, 258.431, 182.8268, 784.1227, 937.8271, 0, 0, 0
wetl, 64870.76, 0.01193105, 0.02082923, 0.00249435, 0.6229268, 1.77099, 0.3006811, 0.0001370581, 0, 1249.587, 35.68834, 35.28995, 528.4657, 30.98789, 559.4534, 279.9785, 633.9302, 929.0921, 0, 0, 0
all_ex_wetl, 307352.8, 1.17414, 0.9996387, 0.1206389, 0.3076997, 1.026444, 0.1162292, 0.3902413, 0.3785445, 1233.515, 388933.4, 388933.4, 1234.505, 41.0452, 40.76297, 188.6805, 25.382, 0, 0, 0.2699899, 0.02888501
