COMID,Unit,Area_ha,Flow_mm,Sed_mgha,TN_kgha,TP_kgha,OrgN_kgha,SedP_kgha,NO3_kgha,SolP_kgha,NH3_kgha,NO2_kgha
10067311,10,5.86839,16960.81,0.1760278,28.18148,0.1541479,0.266683,0.1003512,27.91226,0.05379669,0.002542435,1.484053E-07
10067263,14,309.7761,308.8768,0.4893858,1.940846,0.1541436,0.2667733,0.1003628,1.668625,0.05378078,0.005429728,1.805175E-05
10072609,20,1935.695,262.8041,0.4750749,1.878634,0.1541049,0.2668809,0.1003774,1.600975,0.05372747,0.01070417,7.387528E-05
10073063,21,5865.019,370.888,0.5336726,2.003721,0.143887,0.2335883,0.09109945,1.745945,0.05278755,0.02184136,0.002346114
10067271,26,170.1833,909.178,0.2567232,2.878505,0.1541338,0.2667712,0.1003624,2.606601,0.05377143,0.005103908,2.878073E-05
10067255,35,2221.747,333.793,0.4933055,1.991292,0.154113,0.2669071,0.1004165,1.709466,0.05369648,0.01417803,0.0007413085
10067299,42,547.1337,532.8874,0.5252829,2.297869,0.1541488,0.2668452,0.1004142,2.019616,0.05373458,0.01100828,0.0003995367
10067275,48,356.9729,829.8422,0.8062236,2.755566,0.1541294,0.266771,0.1003718,2.481701,0.05375758,0.006936101,0.0001579952
10067323,163,3241.321,251.4817,0.3757727,3.160873,0.1308417,0.1824565,0.06626928,2.956202,0.06457244,0.01996408,0.002250009
10067315,170,520.0375,201.1652,0.4068938,2.916299,0.1316636,0.1849482,0.06689902,2.724804,0.06476457,0.006345696,0.0002013316
10066317,176,4887.148,398.5423,0.729055,3.807179,0.126536,0.1687078,0.06242905,3.613559,0.06410692,0.02119846,0.003713822
10067349,197,3700.446,399.8804,0.7874727,3.869163,0.1315247,0.1848966,0.06688383,3.653614,0.06464086,0.02611577,0.004537291
10067381,213,77.14391,602.1575,0.06043251,4.866651,0.131676,0.1848493,0.06688797,4.678269,0.06478801,0.003494767,3.755319E-05
10067325,236,5389.501,424.5154,3.29344,3.635698,0.5615733,1.700529,0.484646,1.586789,0.07692735,0.2853696,0.0630114
10067353,272,5169.42,413.0419,0.6733831,5.450708,0.4098332,0.9486558,0.3375621,4.220976,0.07227117,0.2195604,0.06151561
10067343,283,296.8384,368.6914,0.3490114,3.672353,0.1960326,0.3274509,0.1358652,3.321673,0.06016742,0.02190417,0.001324963
10067329,290,1282.658,294.2553,0.4637246,2.937397,0.1929353,0.3188691,0.133083,2.582918,0.05985228,0.03209741,0.003512238
10067361,292,192.897,343.0654,0.2774019,3.419423,0.1960632,0.3273249,0.1358238,3.073661,0.0602394,0.01784372,0.000593581
10067701,321,130.592,1786.038,0.2758209,17.22981,0.1959998,0.3276618,0.1359195,16.85402,0.06008025,0.04410684,0.00402092
10067491,327,248.854,224.2031,0.2658587,2.283809,0.1960185,0.3273807,0.1358226,1.938888,0.06019593,0.0170381,0.0005027044
10067395,341,269.0075,364.7206,0.2824457,3.051377,0.1210375,0.1091791,0.0656859,2.926684,0.05535161,0.01484345,0.0006698698
10067431,342,943.4454,246.6218,0.2506769,2.245317,0.1743503,0.2795075,0.1175479,1.91426,0.05680244,0.04673297,0.004816389
10067695,343,21.40839,1222.304,0.2573757,11.66625,0.1959979,0.3272549,0.1357412,11.32733,0.06025675,0.01145812,0.0002055269
10067387,351,492.4668,165.4563,0.2580885,1.762649,0.1960335,0.328144,0.136131,1.393596,0.05990252,0.03819547,0.002712873
10067421,354,222.7949,622.8094,0.3534641,5.455045,0.1237012,0.1176418,0.06853838,5.32777,0.05516284,0.009322475,0.0003104649
10067335,361,480.3599,493.8349,0.2750022,3.844263,0.09447083,0.06880258,0.04313432,3.745109,0.05133651,0.02496045,0.005391791
10067699,363,81.27804,2276.022,0.2835944,21.71716,0.19608,0.3275177,0.1359531,21.35878,0.06012695,0.02824871,0.002613252
10067539,383,290.2969,494.8389,0.6293557,3.314512,0.3766833,0.5411701,0.3051014,2.744432,0.07158189,0.02859142,0.0003190182
10067479,388,1453.959,246.7813,0.4598479,1.294445,0.1880658,0.194641,0.1258633,1.040607,0.06220258,0.04795184,0.01124516
10067561,389,5447.583,332.979,0.5870494,2.403396,0.3757079,0.5418917,0.3058237,1.631182,0.0698842,0.1646602,0.06566215
10067693,397,566.075,674.5519,0.774279,3.684323,0.2236806,0.2391909,0.1578236,3.400609,0.06585699,0.0389701,0.005552268
10067481,406,729.4958,389.6813,0.4965073,2.59897,0.3766848,0.5420182,0.3055535,1.978079,0.07113132,0.07184415,0.007029512
10067553,413,1198.723,567.3256,0.533401,3.221365,0.2832264,0.3644712,0.2154793,2.810491,0.06774709,0.04151084,0.004891872
10072923,420,458.3376,488.6448,0.4293779,3.215497,0.3766438,0.5430495,0.3061063,2.537431,0.07053753,0.1134753,0.02154089
10067499,431,292.1118,434.7233,0.4553052,2.534282,0.3252522,0.4429811,0.255861,2.067702,0.06939124,0.02305624,0.0005436275
10067547,453,8402.98,391.3257,0.8316097,2.525592,0.2942646,0.4037853,0.2626449,1.901706,0.03161974,0.1461386,0.07396185
10072925,509,7941.197,399.3779,1.69244,4.489625,0.9171162,1.123508,0.7644944,2.824511,0.1526218,0.3635472,0.1780588
10066517,559,1889.756,514.8394,1.383247,8.033741,0.9720832,1.402827,0.8567244,6.492902,0.1153588,0.1270005,0.011012
10067417,571,4462.841,336.8715,1.296708,5.794829,0.9713768,1.404263,0.8577496,4.040028,0.1136272,0.2856925,0.06484659
10067535,594,168.2258,425.0806,0.8779866,3.288894,0.5768437,0.7002493,0.4573615,2.528744,0.1194823,0.0572861,0.002614343
10067551,596,2227.226,312.5685,0.9428769,2.654975,0.5762325,0.7008718,0.4579688,1.753751,0.1182637,0.162534,0.03781835
10067571,644,7000.909,353.0386,0.9171666,3.598818,0.6460589,1.393105,0.4867939,1.581223,0.159265,0.4316582,0.1928321
10064857,657,539.2399,285.8818,0.3226764,3.329944,0.4019176,0.4612047,0.2407092,2.816928,0.1612084,0.04890217,0.002909651
10066611,659,38.14907,613.2995,0.2825757,9.944122,0.4018709,0.4610859,0.2406874,9.418316,0.1611835,0.0647198,2.147104E-07
10072921,672,2247.814,457.6792,0.3893116,6.762201,0.4012788,0.4613371,0.2406783,6.165991,0.1606005,0.1073487,0.02752452
10067541,677,528.663,365.7404,0.3221334,4.948595,0.4019195,0.4613525,0.2407961,4.416802,0.1611234,0.06679113,0.003648827
10072963,678,1034.183,325.2848,0.3150313,4.109287,0.4018631,0.4615237,0.2408665,3.571902,0.1609967,0.0691077,0.006754124
10064747,680,312.6054,265.1964,0.394427,2.829672,0.4018804,0.4606446,0.2403989,2.351207,0.1614815,0.01726777,0.0005527735
10067501,688,273.2821,543.4314,0.3338309,8.341608,0.4018192,0.4606961,0.2404841,7.841713,0.1613351,0.03750703,0.001691293
10067683,690,213.1647,564.637,0.2829737,8.78196,0.4018958,0.461568,0.2408935,8.251835,0.1610023,0.06154865,0.007008665
10066589,696,24.58898,3634.601,0.9337516,68.62989,0.4018874,0.4603688,0.2403109,68.16061,0.1615764,0.008910496,7.104809E-08
10067425,697,278.3436,433.7782,0.3057013,6.201137,0.4018774,0.4609411,0.2406378,5.690808,0.1612396,0.04699228,0.0023956
10064927,769,11352.4,434.2075,0.7100701,3.048871,0.5882456,0.7853845,0.3692611,1.85071,0.2189845,0.2688418,0.1439343
10064955,819,2389.12,497.9748,0.3535611,2.835257,0.2368236,0.1688906,0.1156911,2.585052,0.1211325,0.06278462,0.01852983
10064899,1747,560.9916,395.2354,0.5825399,2.887432,0.4677432,0.4841428,0.2893092,2.310195,0.178434,0.09196217,0.001131746
10064893,1787,123577,381.775,0.6241453,3.116033,0.2395268,0.3063677,0.1484095,2.591097,0.09111728,0.1264798,0.09208833
10064877,1792,508.9591,393.8506,0.272124,2.576887,0.2312563,0.1690902,0.1074153,2.379366,0.123841,0.02843058,2.349894E-08
10064959,1795,678.0624,483.5594,0.302922,2.924056,0.2311881,0.1688635,0.1073205,2.726888,0.1238677,0.02765232,0.0006522998
10064965,1799,659.7258,567.3162,0.3542381,3.261546,0.2311112,0.1690096,0.1073325,3.057331,0.1237787,0.03380192,0.00140422
10064873,1805,1168.685,547.6139,0.3673359,3.111583,0.2311144,0.1689078,0.1073001,2.906686,0.1238144,0.03388423,0.00210493
10064973,1806,1049.644,459.9952,0.3088666,2.810679,0.2309354,0.1687239,0.1071792,2.606598,0.1237562,0.03492612,0.0004312891
10064929,1810,5872.005,402.2623,0.3353199,4.098804,0.1160592,0.3150542,0.06004763,3.642708,0.05601153,0.1002043,0.04083784
10065035,1875,5741.776,449.7491,0.8060224,4.927535,0.3922654,0.8075899,0.2650748,3.730553,0.1271906,0.2716929,0.1176988
10064967,1913,6756.288,491.3733,0.706009,3.164815,0.4489151,0.5926331,0.2921723,2.319321,0.1567429,0.1833847,0.06947602
10072989,1927,2775.105,880.7365,0.7754661,5.167913,0.4485956,0.5909686,0.2912683,4.363799,0.1573274,0.1660117,0.04713335
10065005,1940,2177.406,567.4091,0.7591602,3.512799,0.4503524,0.5938259,0.2926877,2.745469,0.1576647,0.1403964,0.0331082
10072981,1970,3755.615,428.7098,0.08430044,1.522086,0.09393934,0.05272106,0.02846405,1.445303,0.06547529,0.01691867,0.00714397
10064911,2025,719.7012,585.3734,0.5227169,2.524039,0.282131,0.4588015,0.1824368,1.967483,0.09969416,0.09474766,0.003006804
10065051,2034,1008.493,685.9171,0.5136377,3.223364,0.3061995,0.5355515,0.204761,2.565214,0.1014385,0.1058014,0.01679734
10073009,2035,1028.247,411.2552,0.4739134,1.877764,0.3062494,0.5350855,0.2046201,1.247755,0.1016293,0.09131075,0.003612945
10073013,2040,4635.068,547.3308,0.5646088,2.291207,0.2540416,0.3717313,0.156179,1.795012,0.09786265,0.09909239,0.0253718
10064909,2046,1373.886,304.3471,0.5282098,1.254027,0.2819739,0.4721644,0.1834213,0.6857192,0.09855257,0.09280246,0.003340889
10065151,2080,706.1198,594.3978,0.00218943,1.319323,0.3745824,1.771654E-08,5.319211E-08,1.319323,0.3745823,2.271569E-07,1.378236E-07
10065121,2084,696.5873,590.7531,2.074399E-05,1.319577,0.3746839,1.764316E-08,5.294383E-08,1.319576,0.3746839,2.011234E-07,6.5462E-08
10065155,2092,969.7343,592.2739,0.001470506,1.319949,0.3746387,1.770588E-08,5.314858E-08,1.319949,0.3746387,1.548878E-07,8.107376E-08
10065147,2097,435.0238,596.4423,0.0005788189,1.319928,0.3746922,1.775995E-08,5.330743E-08,1.319928,0.3746921,3.277981E-07,2.020349E-07
10065143,2111,838.9527,592.4437,0.0003779712,1.319503,0.3746338,1.770064E-08,5.31496E-08,1.319502,0.3746337,2.299295E-07,1.340958E-07
10069315,2488,7406.917,603.295,1.221561,7.115187,0.7645556,0.6011948,0.3882857,6.19286,0.3762699,0.2154743,0.105658
10069319,2523,1963.588,857.7303,0.02029448,5.39493,0.2361748,0.1302717,0.03200773,5.214943,0.2041671,0.03652497,0.01319014
10065183,2532,20439.68,542.5399,3.118933,7.065131,1.162298,1.090526,0.7509903,5.249593,0.4113078,0.4474141,0.2775973
10065379,2536,342.147,1782.884,0.1609834,13.94131,0.2352498,0.1223743,0.03136079,13.79524,0.203889,0.0234899,0.0002079808
10069323,2539,1333.741,943.5993,0.01917914,6.129719,0.2363202,0.1311349,0.03208269,5.965926,0.2042376,0.02706672,0.00559104
10072885,2545,1953.422,346.2024,0.01929435,0.6910924,0.2363852,0.1316152,0.03212823,0.5293275,0.2042569,0.02793559,0.002214063
10065159,2550,13448.8,605.8661,0.1864107,8.47399,1.200553,1.54735,0.475061,6.562667,0.7254922,0.3287282,0.03524478
10065377,2551,633.3715,486.9875,0.05623871,1.923777,0.2343648,0.1200086,0.03085077,1.780945,0.203514,0.02278284,4.067123E-05
10065169,2556,3251.694,325.6989,0.02090295,0.5164477,0.2355695,0.1276565,0.03155278,0.3490488,0.2040167,0.03275216,0.006990202
