COMID,Unit,AREA,MEAN,P_0_1,P_0_5,P_1,P_2,P_3,P_5,P_10,P_15,P_20,P_25,P_30,P_35,P_40,P_45,P_50,P_55,P_60,P_65,P_70,P_75,P_80,P_85,P_90,P_95,P_97,P_98,P_99
10067311,10,5.86839,0.02980499,14.77352,13.45757,11.51374,9.098994,7.271833,5.767843,3.728094,2.700675,0.04900479,0.01932475,0.01034678,0.006981049,0.005091425,0.003961229,0.003382782,0.002890246,0.002514156,0.002132646,0.001678951,0.001322086,0.001026443,0.000699384,0.0004214148,8.300529E-05,2.184749E-05,1.363756E-05,8.359059E-06
10067381,213,77.14391,0.01396694,14.54508,11.31085,9.318813,7.381861,6.182455,4.828999,3.158174,2.287812,0.6502993,0.3435183,0.2698422,0.2325118,0.208112,0.1871168,0.1771659,0.1589762,0.147442,0.135372,0.08700994,0.05570374,0.03653179,0.02863289,0.02316666,0.01965295,0.01705367,0.01625385,0.01535081
10067387,351,492.4668,0.02463238,9.128781,8.831911,7.138442,6.343955,5.39328,4.120629,2.363843,1.582665,1.123249,0.8236497,0.6394303,0.543109,0.4643102,0.3526254,0.2792056,0.2409765,0.1219264,0.06743673,0.03823467,0.02612503,0.01984177,0.01685229,0.01444416,0.01356129,0.01330645,0.01311909,0.01270082
10067539,383,290.2969,0.0438625,13.90772,10.69093,8.598478,5.939509,5.097984,4.228884,3.03314,2.414466,2.006498,1.746624,0.5899755,0.242147,0.1481439,0.1090704,0.08174557,0.06256986,0.0521226,0.04316017,0.03563739,0.03054248,0.02721823,0.02291926,0.01786489,0.01186645,0.01002903,0.008626071,0.008264747
10067535,594,168.2258,0.02213621,8.835279,7.631221,6.415019,5.134831,3.588005,3.052738,2.047685,1.669944,1.463625,1.348959,1.289141,1.233814,1.122012,0.5601001,0.3986624,0.2060172,0.07480211,0.03702697,0.01916594,0.01110991,0.008498779,0.00692628,0.006251275,0.00562872,0.004919603,0.00461475,0.004441519
10064857,657,539.2399,0.04657446,11.92757,11.17575,8.984403,7.236472,6.236198,5.165243,3.2608,2.087118,1.392797,0.9061568,0.5526561,0.3965716,0.2367673,0.143832,0.102273,0.07827032,0.06048551,0.04856859,0.03940225,0.03177792,0.02868542,0.02587269,0.02231002,0.01838534,0.01752585,0.01661823,0.01583495
10066611,659,38.14907,0.007017815,11.54214,10.50471,8.43452,6.643128,5.962209,4.531192,3.108539,2.358913,1.956989,1.683093,1.058677,0.5451497,0.2178055,0.1436045,0.08004619,0.04996533,0.03392623,0.02467048,0.0183142,0.01453341,0.01219421,0.0102784,0.008686705,0.007028722,0.006684158,0.006323947,0.005819239
10067541,677,528.663,0.05815518,11.61763,10.73567,7.952158,6.640043,5.343743,4.488668,2.991304,2.070703,1.484875,1.113503,0.7907207,0.5449895,0.4178426,0.3328884,0.2937713,0.2651962,0.2330881,0.115403,0.06416946,0.04032373,0.02976376,0.02529103,0.01985387,0.01533163,0.0148535,0.01391733,0.01273856
10064747,680,312.6054,0.02502746,11.58037,10.23025,8.295855,6.868463,6.375872,5.029295,2.922634,1.918115,1.257174,0.9161786,0.6894521,0.525593,0.3338237,0.2460422,0.2048308,0.1801658,0.1586078,0.1287025,0.06723392,0.04740293,0.03903073,0.03469056,0.02893821,0.0240161,0.02211189,0.02132942,0.02101196
10066589,696,24.58898,0.02723015,5.81329,5.007268,4.341933,3.407092,2.970953,2.392886,1.7168,1.386474,1.209254,1.159909,1.138291,1.127263,1.121754,1.116646,1.110177,1.103502,1.098167,1.088597,1.075195,1.039521,0.01728437,0.007085771,0.002745607,0.00199834,0.001750669,0.001652518,0.001557691
10067425,697,278.3436,0.03651891,8.997793,7.987259,6.641929,5.142788,4.544588,3.74153,2.411757,1.680909,1.265528,1.031361,0.9026851,0.8437679,0.7992861,0.7764673,0.7224573,0.468538,0.404195,0.3858884,0.3785383,0.3532067,0.2647771,0.09940769,0.05825205,0.02511492,0.0207438,0.01567967,0.01383947
10064899,1747,560.9916,0.06709981,20.7814,18.93135,11.28326,8.403513,5.117249,3.03015,1.905227,1.433655,1.244304,1.062968,0.9179835,0.769034,0.6319762,0.5471905,0.4770599,0.441697,0.4021367,0.3343115,0.2670356,0.1876766,0.09728569,0.06321386,0.04296811,0.02932934,0.02343913,0.02049517,0.01804293
10064877,1792,508.9591,0.06108701,12.04987,9.441547,7.886877,6.124027,5.119131,3.790498,2.358613,1.779843,1.359833,1.053418,0.807835,0.6308141,0.5113064,0.4440068,0.3798394,0.3308521,0.2947541,0.2682042,0.2433164,0.216259,0.1864593,0.1715688,0.1566804,0.1333424,0.1261838,0.1209636,0.1148758
