          YR    CO2(ppm)
        1997   410.0000    
        1998   410.0000    
        1999   410.0000    
        2000   410.0000    
        2001   410.0000    
        2002   410.0000    
        2003   410.0000    
        2004   410.0000    
        2005   410.0000    
        2006   410.0000    
        2007   410.0000    
        2008   410.0000    
        2009   410.0000    
        2010   410.0000    
        2011   410.0000    
        2012   410.0000    
        2013   410.0000    
        2014   410.0000    
        2015   410.0000    
        2016   410.0000    
        2017   410.0000    
        2018   410.0000    
        2019   410.0000    
        2020   410.0000    
