        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
           1           1           1        1997 chandeg m_4_1434           182719.5       174.1949       182.4707      8.5213615E-05   227.1992      2.5632999E-05  0.0000000E+00   60.93659       43.75628      0.0000000E+00   2166.319      5.2278745E-05  5.2278745E-05  5.2278745E-05  5.2278745E-05  5.2278745E-05  0.0000000E+00   11.19125    
           2           1           2        1997 chandeg m_4_1434           185637.0       171.6471      2.8489323E-05  8.5467953E-05   88.86524      2.5571859E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1491.048      1.1386671E-04  1.1386671E-04  1.1386671E-04  1.1386671E-04  1.1386671E-04  0.0000000E+00   7.190000    
           3           1           3        1997 chandeg m_4_1434           126827.3       109.8405      2.8555532E-05  8.5666601E-05   83.00661      2.5558296E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   724.5962      1.4273362E-04  1.4273362E-04  1.4273362E-04  1.4273362E-04  1.4273362E-04  0.0000000E+00   12.12500    
           4           1           4        1997 chandeg m_4_1434           83699.62       65.53661      2.8612149E-05  8.5836429E-05   80.54356      2.5585990E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   440.6050      1.5599134E-04  1.5599134E-04  1.5599134E-04  1.5599134E-04  1.5599134E-04  0.0000000E+00   16.21250    
           5           1           5        1997 chandeg m_4_1434           61072.00       43.13262      2.8666444E-05  8.5999302E-05   79.24799      2.5627636E-05  0.0000000E+00  6.1001516E-05  0.0000000E+00  0.0000000E+00   336.0817      1.6508547E-04  1.6508547E-04  1.6508547E-04  1.6508547E-04  1.6508547E-04  0.0000000E+00   16.44875    
           6           1           6        1997 chandeg m_4_1434           49722.70       32.05843      2.8719745E-05  8.6159271E-05   78.29471      2.5674601E-05  0.0000000E+00  5.8107478E-05  0.0000000E+00  0.0000000E+00   292.3411      1.7036279E-04  1.7036279E-04  1.7036279E-04  1.7036279E-04  1.7036279E-04  0.0000000E+00   15.34250    
           7           1           7        1997 chandeg m_4_1434           43832.50       26.62167      2.8772085E-05  8.6316228E-05   77.39281      2.5722677E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   278.5856      1.7406147E-04  1.7406147E-04  1.7406147E-04  1.7406147E-04  1.7406147E-04  0.0000000E+00   11.92625    
           8           1           8        1997 chandeg m_4_1434           40690.29       23.82865      2.8823952E-05  8.6471839E-05   76.52979      2.5770651E-05  2.8181542E-08  0.0000000E+00  0.0000000E+00  0.0000000E+00   287.3152      1.7528032E-04  1.7528032E-04  1.7528032E-04  1.7528032E-04  1.7528032E-04  0.0000000E+00   6.470000    
           9           1           9        1997 chandeg m_4_1434           60992.06       50.55075       340.5260       81.04833       472.8261      0.8379756       107.7651       95.06348       68.95443      8.2497182E-09   410.8048      5.0268839E-03   9.643083      9.6412329E-04  8.0900081E-03  5.7032439E-03  0.0000000E+00   5.765000    
          10           1          10        1997 chandeg m_4_1434           90024.13       71.46667       148.4917       36.18441       201.1050      0.4278086       102.7015       32.72427       19.17081      6.3455058E-10   880.8351       1.060458       14.59042      0.1005394       1.003631      0.8657181      0.0000000E+00   5.780000    
          11           1          11        1997 chandeg m_4_1434           140044.2       155.5698       1076.479       256.6802       287.4567      0.9157232       167.0493       300.9769       212.9010      1.5075198E-10   890.7012       5.934798       32.04790      0.3409263       3.405172       3.084513      0.0000000E+00   6.241250    
          12           1          12        1997 chandeg m_4_1434           146190.5       156.2699       192.8590       48.05555       131.3264      0.4302288       156.5442       48.74600       35.49910      0.0000000E+00   1346.155       7.183046       35.65697      0.3933625       3.928218       3.544389      0.0000000E+00   2.510000    
          13           1          13        1997 chandeg m_4_1434           115273.4       112.7317       42.53161       11.06648       88.62843      0.1407572       107.4796       10.96089       7.963730      0.0000000E+00   896.4742       5.585637       26.52211      0.3101152       3.096254       2.761991      0.0000000E+00   3.061250    
          14           1          14        1997 chandeg m_4_1434           83523.40       73.83464       11.74936       3.215866       75.84054      4.6483692E-02   79.71582       2.977759       2.136967      0.0000000E+00   606.9705       3.688460       16.55888      0.2111174       2.107502       1.854773      0.0000000E+00   2.652500    
          15           1          15        1997 chandeg m_4_1434           62370.69       50.29414       13.30190       3.173012       78.38456      0.0000000E+00   11.60886       3.695122       3.018309      5.3606941E-12   429.0488       2.322661       9.679088      0.1375128       1.372509       1.191400      0.0000000E+00   3.706250    
          16           1          16        1997 chandeg m_4_1434           207613.1       331.6454       2850.593       737.9631       1701.937      0.0000000E+00   475.1857       798.2352       592.3933      4.4350270E-09   1020.144       8.380730       30.94702      0.5813037       5.803570       5.147065      0.0000000E+00   5.877500    
          17           1          17        1997 chandeg m_4_1434           277503.9       434.1385       534.5806       144.1718       485.1455      0.0000000E+00   362.4850       153.5155       113.9061      4.8881767E-14   2453.560       15.14628       42.61945      0.9111101       9.097242       8.052982      0.0000000E+00   6.432500    
          18           1          18        1997 chandeg m_4_1434           211539.2       339.0519       116.6545       32.69271       175.0076      1.0968976E-02   229.2802       28.21963       21.80069      2.5144430E-11   1731.894       13.93011       31.72559      0.8104133       8.091572       7.110973      0.0000000E+00 -0.4974999    
          19           1          19        1997 chandeg m_4_1434           134054.0       214.8059       30.18727       8.929440       96.07850      7.8875311E-03   145.7970       7.258969       5.484407      6.5749944E-10   1015.903       9.644260       18.50829      0.5624775       5.615983       4.890376      0.0000000E+00  -2.057500    
          20           1          20        1997 chandeg m_4_1434           88997.45       135.4375       10.04130       3.260497       74.32275      7.2835516E-03   109.6117       2.373044       1.714929      6.3843320E-11   670.5200       6.422730       10.51198      0.3788572       3.782896       3.258270      0.0000000E+00 -0.9475002    
          21           1          21        1997 chandeg m_4_1434           64141.46       88.02632       4.637506       1.727349       67.42730      8.1395926E-03   11.29432       1.247091      0.8291259      3.5678824E-10   430.1327       4.257017       5.943242      0.2546326       2.542678       2.164513      0.0000000E+00   5.708750    
          22           1          22        1997 chandeg m_4_1434           49827.77       59.53133       2.950711       1.246765       64.66352      8.3499560E-03  0.5107974      0.8074766      0.5082055      1.1594164E-11   327.1725       2.797246       3.296376      0.1701204       1.698740       1.429504      0.0000000E+00   7.111250    
