 demo                      SWAT+ 2025-07-16        MODULAR Rev 2025.61.0.2.11-219-g8a465b1                
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   366    12    31  2020       1    corn                                            11416.848    5137.582     114.168      18.267
   366    12    31  2020       1    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       2    corn                                            11672.439    5252.598     116.724      18.676
   366    12    31  2020       2    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       3    corn                                            11426.673    5142.002     114.267      18.283
   366    12    31  2020       3    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       4    corn                                            11435.978    5146.190     114.360      18.298
   366    12    31  2020       4    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       5    corn                                            11434.233    5145.405     114.342      18.295
   366    12    31  2020       5    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       6    corn                                            11447.243    5151.258     114.472      18.316
   366    12    31  2020       6    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       7    corn                                            11411.149    5135.018     114.112      18.258
   366    12    31  2020       7    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       8    corn                                            11576.278    5209.326     115.763      18.522
   366    12    31  2020       8    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       9    corn                                            11459.083    5156.588     114.591      18.335
   366    12    31  2020       9    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020      10    corn                                            11509.904    5179.457     115.099      18.416
   366    12    31  2020      10    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020      11    corn                                            11664.772    5249.148     116.648      18.664
   366    12    31  2020      11    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020      12    corn                                            11540.130    5193.059     115.401      18.464
   366    12    31  2020      12    soyb                                                0.000       0.000       0.000       0.000
