 demo                      SWAT+ 2025-07-16        MODULAR Rev 2025.61.0.2.11-219-g8a465b1                
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn    plant_cov       mgt_ops                          percn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha                                                      kgha
   366    12    31  2020       1       1  hru0001                0.056       0.362       0.000       0.036       0.034       0.006       0.000       0.006       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       2       1  hru0002                0.043       0.355       0.000       0.026       0.248       0.007       0.000       0.006       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       3       1  hru0003                0.056       0.509       0.000       0.040       0.047       0.029       0.000       0.024       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       4       1  hru0004                0.055       0.550       0.000       0.040       0.045       0.030       0.000       0.025       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       5       1  hru0005                0.055       0.520       0.000       0.040       0.050       0.034       0.000       0.027       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       6       1  hru0006                0.083       0.849       0.000       0.040       0.052       0.040       0.000       0.047       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       7       1  hru0007                0.086       0.579       0.000       0.036       0.032       0.005       0.000       0.008       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       8       1  hru0008                0.071       0.729       0.000       0.030       0.059       0.006       0.000       0.010       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       9       1  hru0009                0.082       0.722       0.000       0.039       0.057       0.028       0.000       0.034       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020      10       1  hru0010                0.077       0.697       0.000       0.035       0.054       0.023       0.000       0.028       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020      11       1  hru0011                0.066       0.538       0.000       0.029       0.149       0.023       0.000       0.027       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020      12       1  hru0012                0.074       0.610       0.000       0.034       0.070       0.022       0.000       0.026       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
