 demo                      SWAT+ 2025-07-16        MODULAR Rev 2025.61.0.2.11-219-g8a465b1                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwsoiln          gwsoilp      plant_cov       mgt_ops                       
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
   366    12    31  2020       1       1  hru0001        0.000       0.000       9.505       7.799            0.315            0.087            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          194.560           35.177            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       2       1  hru0002        0.000       0.000      15.775      12.818            0.315            0.087            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          197.782           35.749            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       3       1  hru0003        0.000       0.000      22.379      18.080            0.315            0.087            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          194.714           35.204            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       4       1  hru0004        0.000       0.000      22.757      18.382            0.315            0.087            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          194.842           35.227            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       5       1  hru0005        0.000       0.000      24.271      19.591            0.315            0.087            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          194.829           35.225            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       6       1  hru0006        0.000       0.000      26.293      21.193            0.315            0.087            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          195.010           35.257            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       7       1  hru0007        0.000       0.000       8.548       7.033            0.315            0.087            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          194.460           35.159            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       8       1  hru0008        0.000       0.000      11.808       9.642            0.315            0.087            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          196.713           35.560            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       9       1  hru0009        0.000       0.000      23.020      18.589            0.315            0.087            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          195.198           35.290            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020      10       1  hru0010        0.000       0.000      21.256      17.182            0.315            0.087            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          195.890           35.413            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020      11       1  hru0011        0.000       0.000      28.024      22.602            0.315            0.087            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          197.844           35.762            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020      12       1  hru0012        0.000       0.000      22.199      17.939            0.315            0.087            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          196.394           35.503            0.000            0.000       cosy_comm       mgt_01                        
