 demo                      SWAT+ 2025-07-16        MODULAR Rev 2025.61.0.2.11-219-g8a465b1                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro   plant_cov       mgt_ops                    
                                                             m**2/m**2        kgha        kgha        kgha        degc        ----        ----        ----        ----        ----        ----        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
   366    12    31  2020       1       1  hru0001                1.478    7466.578   10912.664     851.804      12.810      24.071       0.000      13.610       0.317       0.711       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000     205.741      86.411   cosy_comm       mgt_01                        
   366    12    31  2020       2       1  hru0002                1.485    7580.411   11156.969     869.221      12.816      23.025       0.000      13.610       0.332       0.711       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000     207.053      86.962   cosy_comm       mgt_01                        
   366    12    31  2020       3       1  hru0003                1.479    7472.411   10922.055     852.548      12.810      24.024       0.000      13.610       0.367       0.711       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000     205.809      86.440   cosy_comm       mgt_01                        
   366    12    31  2020       4       1  hru0004                1.479    7476.931   10930.949     853.190      12.810      23.982       0.000      13.610       0.328       0.711       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000     205.856      86.460   cosy_comm       mgt_01                        
   366    12    31  2020       5       1  hru0005                1.479    7476.739   10929.282     853.107      12.810      23.987       0.000      13.610       0.356       0.714       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000     205.855      86.459   cosy_comm       mgt_01                        
   366    12    31  2020       6       1  hru0006                1.479    7483.137   10941.718     853.860      12.810      23.933       0.000      13.610       0.325       0.713       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000     205.926      86.489   cosy_comm       mgt_01                        
   366    12    31  2020       7       1  hru0007                1.478    7462.746   10907.218     851.154      12.809      24.101       0.000      13.610       0.317       0.711       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000     205.693      86.391   cosy_comm       mgt_01                        
   366    12    31  2020       8       1  hru0008                1.483    7544.456   11065.054     864.089      12.813      23.387       0.000      13.610       0.327       0.711       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000     206.606      86.775   cosy_comm       mgt_01                        
   366    12    31  2020       9       1  hru0009                1.480    7490.281   10953.034     854.690      12.810      23.877       0.000      13.610       0.353       0.711       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000     206.003      86.521   cosy_comm       mgt_01                        
   366    12    31  2020      10       1  hru0010                1.481    7515.343   11001.611     858.344      12.812      23.660       0.000      13.610       0.321       0.711       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000     206.265      86.631   cosy_comm       mgt_01                        
   366    12    31  2020      11       1  hru0011                1.487    7584.984   11149.641     870.681      12.816      23.016       0.000      13.610       0.288       0.714       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000     207.135      86.997   cosy_comm       mgt_01                        
   366    12    31  2020      12       1  hru0012                1.483    7533.986   11030.502     860.950      12.812      23.504       0.000      13.610       0.315       0.711       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000     206.487      86.725   cosy_comm       mgt_01                        
