 demo                      SWAT+ 2025-07-16        MODULAR Rev 2025.61.0.2.11-223-g950bab6                
         hru        year         mon         day crop/fert/pest operation  phubase        phuplant  soil_water      plant_bioms   surf_rsd       soil_no3      soil_solp         op_var           var1          var2             var3             var4            var5            var6           var7 
         ---         ---         ---         ---       ---         ---       deg_c           deg_c          mm            kg/ha      kg/ha          kg/ha          kg/ha          ---              ---           ---              ---              ---             ---             ---            ---
           1        1975           4           1 chisplow            TILLAGE   7.1317151E-02  0.0000000E+00   48.31463      0.0000000E+00   1598.366       509.4425       103.2961      0.3000000    
           2        1975           4           1 chisplow            TILLAGE   7.1317151E-02  0.0000000E+00   48.41485      0.0000000E+00   1625.703       506.2230       99.55862      0.3000000    
           3        1975           4           1 chisplow            TILLAGE   7.1317151E-02  0.0000000E+00   48.28094      0.0000000E+00   1595.625       525.9729       143.8138      0.3000000    
           4        1975           4           1 chisplow            TILLAGE   7.1317151E-02  0.0000000E+00   48.31380      0.0000000E+00   1597.849       520.1432       138.8750      0.3000000    
           5        1975           4           1 chisplow            TILLAGE   7.1317151E-02  0.0000000E+00   48.28254      0.0000000E+00   1595.594       530.4055       156.9381      0.3000000    
           6        1975           4           1 chisplow            TILLAGE   7.1317151E-02  0.0000000E+00   48.28622      0.0000000E+00   1595.765       528.7056       154.5765      0.3000000    
           7        1975           4           1 chisplow            TILLAGE   7.1317151E-02  0.0000000E+00   48.31961      0.0000000E+00   1599.520       505.3749       100.7603      0.3000000    
           8        1975           4           1 chisplow            TILLAGE   7.1317151E-02  0.0000000E+00   48.34138      0.0000000E+00   1607.324       499.1503       87.61560      0.3000000    
           9        1975           4           1 chisplow            TILLAGE   7.1317151E-02  0.0000000E+00   48.30363      0.0000000E+00   1597.686       532.7057       161.8520      0.3000000    
          10        1975           4           1 chisplow            TILLAGE   7.1317151E-02  0.0000000E+00   48.30782      0.0000000E+00   1596.525       526.4270       147.2761      0.3000000    
          11        1975           4           1 chisplow            TILLAGE   7.1317151E-02  0.0000000E+00   48.42712      0.0000000E+00   1629.098       540.0312       182.3328      0.3000000    
          12        1975           4           1 chisplow            TILLAGE   7.1317151E-02  0.0000000E+00   48.33103      0.0000000E+00   1599.976       533.9570       159.3840      0.3000000    
           1        1975           4          28 corn                                        PLANT   0.1347239      0.0000000E+00   56.53761      0.0000000E+00   1108.111       537.9495       134.2493      0.0000000E+00   6.000000    
           2        1975           4          28 corn                                        PLANT   0.1347239      0.0000000E+00   56.60958      0.0000000E+00   1127.129       520.2848       152.7496      0.0000000E+00   6.000000    
           3        1975           4          28 corn                                        PLANT   0.1347239      0.0000000E+00   56.52243      0.0000000E+00   1106.216       567.4736       204.2216      0.0000000E+00   6.000000    
           4        1975           4          28 corn                                        PLANT   0.1347239      0.0000000E+00   56.53626      0.0000000E+00   1107.756       552.0775       202.9678      0.0000000E+00   6.000000    
           5        1975           4          28 corn                                        PLANT   0.1347239      0.0000000E+00   56.52262      0.0000000E+00   1106.196       574.6990       214.6221      0.0000000E+00   6.000000    
           6        1975           4          28 corn                                        PLANT   0.1347239      0.0000000E+00   56.52411      0.0000000E+00   1106.316       569.0726       223.2262      0.0000000E+00   6.000000    
           7        1975           4          28 corn                                        PLANT   0.1347239      0.0000000E+00   56.54124      0.0000000E+00   1108.909       526.2310       128.7948      0.0000000E+00   6.000000    
           8        1975           4          28 corn                                        PLANT   0.1347239      0.0000000E+00   56.56130      0.0000000E+00   1114.366       493.9278       137.5927      0.0000000E+00   6.000000    
           9        1975           4          28 corn                                        PLANT   0.1347239      0.0000000E+00   56.53225      0.0000000E+00   1107.647       580.6359       208.6296      0.0000000E+00   6.000000    
          10        1975           4          28 corn                                        PLANT   0.1347239      0.0000000E+00   56.53113      0.0000000E+00   1106.853       563.1836       196.3031      0.0000000E+00   6.000000    
          11        1975           4          28 corn                                        PLANT   0.1347239      0.0000000E+00   56.62179      0.0000000E+00   1129.489       601.9628       224.6166      0.0000000E+00   6.000000    
          12        1975           4          28 corn                                        PLANT   0.1347239      0.0000000E+00   56.54338      0.0000000E+00   1109.247       585.0714       202.7007      0.0000000E+00   6.000000    
           1        1975           5          15 sprinkler_ilm                           IRRIGATE   0.1969572      8.3499700E-02   46.74077       241.8191       802.1366       583.7604       132.3292       21.25000      0.0000000E+00
           2        1975           5          15 sprinkler_ilm                           IRRIGATE   0.1969572      8.3499700E-02   46.80177       241.8191       815.3946       560.4303       153.2510       21.25000      0.0000000E+00
           3        1975           5          15 sprinkler_ilm                           IRRIGATE   0.1969572      8.3499700E-02   46.72991       241.8191       800.7452       619.5159       200.7054       21.25000      0.0000000E+00
           4        1975           5          15 sprinkler_ilm                           IRRIGATE   0.1969572      8.3499700E-02   46.73956       241.8191       801.8514       600.6865       200.1530       21.25000      0.0000000E+00
           5        1975           5          15 sprinkler_ilm                           IRRIGATE   0.1969572      8.3499700E-02   46.72986       241.8191       800.7196       628.2800       209.9444       21.25000      0.0000000E+00
           6        1975           5          15 sprinkler_ilm                           IRRIGATE   0.1969572      8.3499700E-02   46.73103       241.8191       800.7906       621.0942       219.5040       21.25000      0.0000000E+00
           7        1975           5          15 sprinkler_ilm                           IRRIGATE   0.1969572      8.3499700E-02   46.74400       241.8191       802.7256       569.3236       126.9138       21.25000      0.0000000E+00
           8        1975           5          15 sprinkler_ilm                           IRRIGATE   0.1969572      8.3499700E-02   46.76172       241.8191       806.3240       527.1965       138.4489       21.25000      0.0000000E+00
           9        1975           5          15 sprinkler_ilm                           IRRIGATE   0.1969572      8.3499700E-02   46.73629       241.8191       801.7452       635.4719       203.0355       21.25000      0.0000000E+00
          10        1975           5          15 sprinkler_ilm                           IRRIGATE   0.1969572      8.3499700E-02   46.73531       241.8191       801.0905       613.5470       192.0990       21.25000      0.0000000E+00
          11        1975           5          15 sprinkler_ilm                           IRRIGATE   0.1969572      8.3499700E-02   46.80890       241.8191       817.0468       662.1088       217.8029       21.25000      0.0000000E+00
          12        1975           5          15 sprinkler_ilm                           IRRIGATE   0.1969572      8.3499700E-02   46.74358       241.8191       802.7953       640.8445       197.2510       21.25000      0.0000000E+00
