 demo                      SWAT+ 2025-07-16        MODULAR Rev 2025.61.0.2.11-219-g8a465b1                
  jday   mon   day    yr    unit  gis_id  name            pesticide      on_plant_kg/ha    soil_kg/ha     sed_kg/ha     surq_kg/ha     latq_kg/ha    tileq_kg/ha     perc_kg/ha   apply_s_kg/ha  apply_f_kg/ha  decay_s_kg/ha  decay_f_kg/ha    wash_kg/ha   metab_s_kg/ha  metab_f_kg/ha   uptake_kg/ha in_plant_kg/ha 
   366    12    31  2020       1       1  hru0001         weedar            0.0000E+00  0.2686E+00  0.2826E-07  0.2228E-02  0.3277E-03  0.0000E+00  0.0000E+00  0.7770E+01  0.1195E+00  0.7034E+01  0.4776E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.7514E+01  0.0000E+00
   366    12    31  2020       1       1  hru0001         roundup           0.0000E+00  0.4328E+01  0.3277E-04  0.6718E-04  0.2184E-04  0.0000E+00  0.0000E+00  0.2332E+02  0.3587E+00  0.2347E+02  0.2626E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
   366    12    31  2020       2       1  hru0002         weedar            0.0000E+00  0.2684E+00  0.1759E-08  0.3067E-03  0.2688E-02  0.0000E+00  0.0000E+00  0.7770E+01  0.1195E+00  0.7031E+01  0.4776E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.7512E+01  0.0000E+00
   366    12    31  2020       2       1  hru0002         roundup           0.0000E+00  0.4328E+01  0.2053E-04  0.6667E-04  0.3062E-04  0.0000E+00  0.0000E+00  0.2332E+02  0.3587E+00  0.2347E+02  0.2626E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
   366    12    31  2020       3       1  hru0003         weedar            0.0000E+00  0.2684E+00  0.2102E-06  0.5432E-02  0.3441E-03  0.0000E+00  0.0000E+00  0.7770E+01  0.1195E+00  0.7031E+01  0.4776E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.7515E+01  0.0000E+00
   366    12    31  2020       3       1  hru0003         roundup           0.0000E+00  0.4328E+01  0.2938E-04  0.2835E-04  0.1381E-04  0.0000E+00  0.0000E+00  0.2332E+02  0.3587E+00  0.2347E+02  0.2626E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
   366    12    31  2020       4       1  hru0004         weedar            0.0000E+00  0.2684E+00  0.1991E-06  0.5011E-02  0.2727E-03  0.0000E+00  0.0000E+00  0.7770E+01  0.1195E+00  0.7031E+01  0.4776E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.7515E+01  0.0000E+00
   366    12    31  2020       4       1  hru0004         roundup           0.0000E+00  0.4328E+01  0.3121E-04  0.2977E-04  0.1069E-04  0.0000E+00  0.0000E+00  0.2332E+02  0.3587E+00  0.2347E+02  0.2626E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
   366    12    31  2020       5       1  hru0005         weedar            0.0000E+00  0.2684E+00  0.3096E-06  0.6061E-02  0.3339E-03  0.0000E+00  0.0000E+00  0.7770E+01  0.1195E+00  0.7030E+01  0.4776E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.7515E+01  0.0000E+00
   366    12    31  2020       5       1  hru0005         roundup           0.0000E+00  0.4328E+01  0.2831E-04  0.2351E-04  0.1293E-04  0.0000E+00  0.0000E+00  0.2332E+02  0.3587E+00  0.2347E+02  0.2626E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
   366    12    31  2020       6       1  hru0006         weedar            0.0000E+00  0.2684E+00  0.4318E-06  0.5588E-02  0.3124E-03  0.0000E+00  0.0000E+00  0.7770E+01  0.1195E+00  0.7030E+01  0.4776E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.7515E+01  0.0000E+00
   366    12    31  2020       6       1  hru0006         roundup           0.0000E+00  0.4328E+01  0.4334E-04  0.2356E-04  0.1133E-04  0.0000E+00  0.0000E+00  0.2332E+02  0.3587E+00  0.2347E+02  0.2626E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
   366    12    31  2020       7       1  hru0007         weedar            0.0000E+00  0.2686E+00  0.5087E-07  0.2344E-02  0.2922E-03  0.0000E+00  0.0000E+00  0.7770E+01  0.1195E+00  0.7034E+01  0.4776E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.7514E+01  0.0000E+00
   366    12    31  2020       7       1  hru0007         roundup           0.0000E+00  0.4328E+01  0.5497E-04  0.7337E-04  0.1932E-04  0.0000E+00  0.0000E+00  0.2332E+02  0.3587E+00  0.2347E+02  0.2626E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
   366    12    31  2020       8       1  hru0008         weedar            0.0000E+00  0.2685E+00  0.4512E-08  0.5297E-03  0.4618E-03  0.0000E+00  0.0000E+00  0.7770E+01  0.1195E+00  0.7033E+01  0.4776E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.7513E+01  0.0000E+00
   366    12    31  2020       8       1  hru0008         roundup           0.0000E+00  0.4328E+01  0.4564E-04  0.1320E-03  0.3742E-04  0.0000E+00  0.0000E+00  0.2332E+02  0.3587E+00  0.2347E+02  0.2626E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
   366    12    31  2020       9       1  hru0009         weedar            0.0000E+00  0.2684E+00  0.4380E-06  0.5527E-02  0.4096E-03  0.0000E+00  0.0000E+00  0.7770E+01  0.1195E+00  0.7030E+01  0.4776E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.7515E+01  0.0000E+00
