 ex1018                    SWAT+ 2025-11-12        MODULAR Rev 2025.61.0.2.11-341-ga4e85d8                
  jday,   mon,   day,    yr,   unit , gis_id , name           ,      sedyld,     sedorgn,     sedorgp,     surqno3,     lat3no3,    surqsolp,        usle,     sedminp,     tileno3,     lchlabp,    tilelabp,      satexn,    plant_cov   ,    mgt_ops                   ,       percn
      ,      ,      ,      ,        ,        ,                ,         tha,        kgha,        kgha,        kgha,        kgha,        kgha,        tons,        kgha,        kgha,        kgha,        kgha,        kgha,                ,                              ,        kgha
365,12,31,2018,1,1,hru00001        ,.880E-04,.161E-03,.190E-04,.279E-03,.604E-02,.158E-05,.00,.249E-04,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,2,2,hru00002        ,.368E-04,.727E-04,.874E-05,.279E-03,.381E-02,.157E-05,.00,.116E-04,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,3,3,hru00003        ,.128E-04,.293E-04,.367E-05,.279E-03,.244E-02,.152E-05,.00,.497E-05,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,4,4,hru00004        ,.787E-06,.306E-05,.423E-06,.278E-03,.110E-04,.130E-05,.00,.603E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,5,5,hru00005        ,.276E-05,.106E-04,.135E-05,.278E-03,.337E-03,.136E-05,.00,.186E-05,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,6,6,hru00006        ,.125E-05,.316E-05,.601E-06,.321E-03,.124E-04,.147E-05,.00,.101E-05,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,7,7,hru00007        ,.723E-05,.127E-04,.178E-05,.321E-03,.105E-03,.157E-05,.00,.275E-05,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,8,8,hru00008        ,.975E-11,.199E-06,.199E-06,.199E-06,.00,.199E-06,.00,.399E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,9,9,hru00009        ,.158E-11,.104E-06,.104E-06,.104E-06,.00,.104E-06,.00,.208E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,10,10,hru00010        ,.216E-09,.341E-06,.341E-06,.341E-06,.00,.341E-06,.00,.682E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,11,11,hru00011        ,.182E-08,.363E-06,.363E-06,.363E-06,.00,.363E-06,.00,.727E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,12,12,hru00012        ,.582E-08,.364E-06,.364E-06,.364E-06,.00,.364E-06,.00,.727E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,13,13,hru00013        ,.242E-11,.113E-06,.113E-06,.113E-06,.00,.113E-06,.00,.227E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,14,14,hru00014        ,.138E-10,.213E-06,.213E-06,.213E-06,.00,.213E-06,.00,.427E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,15,15,hru00015        ,.332E-09,.349E-06,.349E-06,.349E-06,.00,.349E-06,.00,.698E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,16,16,hru00016        ,.194E-07,.364E-06,.364E-06,.364E-06,.00,.364E-06,.00,.727E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,17,17,hru00017        ,.448E-08,.364E-06,.364E-06,.364E-06,.00,.364E-06,.00,.727E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,18,18,hru00018        ,.228E-08,.357E-06,.357E-06,.357E-06,.00,.357E-06,.00,.714E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,19,19,hru00019        ,.279E-08,.331E-06,.331E-06,.331E-06,.00,.331E-06,.00,.662E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,20,20,hru00020        ,.582E-07,.364E-06,.364E-06,.364E-06,.00,.364E-06,.00,.727E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,21,21,hru00021        ,.415E-09,.280E-06,.280E-06,.280E-06,.00,.280E-06,.00,.560E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,22,22,hru00022        ,.522E-09,.340E-06,.340E-06,.340E-06,.00,.340E-06,.00,.679E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,23,23,hru00023        ,.323E-08,.363E-06,.363E-06,.363E-06,.00,.363E-06,.00,.727E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,24,24,hru00024        ,.291E-07,.364E-06,.364E-06,.364E-06,.00,.364E-06,.00,.727E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,25,25,hru00025        ,.207E-10,.183E-06,.183E-06,.183E-06,.00,.183E-06,.00,.366E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,26,26,hru00026        ,.314E-10,.247E-06,.247E-06,.247E-06,.00,.247E-06,.00,.494E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,27,27,hru00027        ,.541E-09,.355E-06,.355E-06,.355E-06,.00,.355E-06,.00,.711E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,28,28,hru00028        ,.448E-08,.364E-06,.364E-06,.364E-06,.00,.364E-06,.00,.727E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,29,29,hru00029        ,.582E-07,.364E-06,.364E-06,.364E-06,.00,.364E-06,.00,.727E-06,.00,.00,.00,.00,                                        ,                                        ,.00
