 ex1018                    SWAT+ 2025-11-12        MODULAR Rev 2025.61.0.2.11-341-ga4e85d8                
       jday,        mon,        day,         yr,            unit,              gis_id ,    name        ,          sed_c,         surq_c,       surq_doc,       surq_dic,         latq_c,       latq_doc,       latq_dic,         perc_c,       perc_doc,       perc_dic,      res_decay,      man_app_c,    man_graze_c,          rsp_c,         emit_c
           ,           ,           ,           ,                ,                     ,                ,        kg C/ha,        kg C/ha,        kg C/ha,        kg C/ha,        kg C/ha,        kg C/ha,        kg C/ha,        kg C/ha,        kg C/ha,        kg C/ha,        kg C/ha,        kg C/ha,        kg C/ha,        kg C/ha,        kg C/ha
365,12,31,2018,1,1,hru00001        ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2018,2,2,hru00002        ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2018,3,3,hru00003        ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2018,4,4,hru00004        ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2018,5,5,hru00005        ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2018,6,6,hru00006        ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2018,7,7,hru00007        ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2018,8,8,hru00008        ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2018,9,9,hru00009        ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2018,10,10,hru00010        ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2018,11,11,hru00011        ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2018,12,12,hru00012        ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2018,13,13,hru00013        ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2018,14,14,hru00014        ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2018,15,15,hru00015        ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2018,16,16,hru00016        ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2018,17,17,hru00017        ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
365,12,31,2018,18,18,hru00018        ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
