 ex1018                    SWAT+ 2025-11-12        MODULAR Rev 2025.61.0.2.11-341-ga4e85d8                
 jday,   mon,   day,    yr,    unit,  gis_id,  name          ,        precip,     snofall,      snomlt,    surq_gen,        latq,    wateryld,        perc,          et,     ecanopy,      eplant,       esoil,   surq_cont,          cn,     sw_init,    sw_final,      sw_ave,      sw_300,    sno_init,   sno_final,     snopack,         pet,       qtile,         irr,  surq_runon,  latq_runon,    overbank,    surq_cha,    surq_res,     surq_ls,    latq_cha,    latq_res,     latq_ls,     gwsoilq,       satex,  satex_chan,   sw_change,     lagsurf,     laglatq,    lagsatex,    wet_evap,    wet_oflo,    wet_stor,   plant_cov    ,   mgt_ops                    
     ,      ,      ,      ,        ,        ,                ,          mm  ,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,         ---,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm
365,12,31,2018,1,1,hru00001        ,39.4,1.15,1.15,.205E-02,.672E-03,.272E-02,.00,39.4,.00,.00,39.4,.169E-02,56.3,.300E-05,.300E-05,.634,.590,.00,.00,.372E-01,.101E+04,.00,.00,.00,.00,.00,.169E-02,.00,.00,.672E-03,.00,.00,.00,.00,.00,.139E-07,.410E-04,.270E-01,.00,.00,.00,.00,                                        ,                                        
365,12,31,2018,2,2,hru00002        ,39.4,1.15,1.15,.204E-02,.423E-03,.246E-02,.00,39.4,.00,.00,39.4,.169E-02,56.3,.300E-05,.300E-05,.634,.590,.00,.00,.372E-01,.101E+04,.00,.00,.00,.00,.00,.169E-02,.00,.00,.423E-03,.00,.00,.00,.00,.00,.139E-07,.790E-04,.192E-01,.00,.00,.00,.00,                                        ,                                        
365,12,31,2018,3,3,hru00003        ,39.4,1.15,1.15,.199E-02,.270E-03,.226E-02,.00,39.4,.00,.00,39.4,.169E-02,56.3,.300E-05,.300E-05,.634,.590,.00,.00,.372E-01,.101E+04,.00,.00,.00,.00,.00,.169E-02,.00,.00,.270E-03,.00,.00,.00,.00,.00,.571E-07,.403E-03,.146E-01,.00,.00,.00,.00,                                        ,                                        
365,12,31,2018,4,4,hru00004        ,39.4,1.15,1.15,.177E-02,.00,.177E-02,.00,39.4,.00,.00,39.4,.169E-02,56.3,.300E-05,.300E-05,.634,.590,.00,.00,.372E-01,.101E+04,.00,.00,.00,.00,.00,.169E-02,.00,.00,.00,.00,.00,.00,.00,.00,-.292E-07,.648E-02,.977E-02,.00,.00,.00,.00,                                        ,                                        
365,12,31,2018,5,5,hru00005        ,39.4,1.15,1.15,.183E-02,.301E-04,.187E-02,.00,39.4,.00,.00,39.4,.169E-02,56.3,.300E-05,.300E-05,.634,.590,.00,.00,.372E-01,.101E+04,.00,.00,.00,.00,.00,.169E-02,.00,.00,.301E-04,.00,.00,.00,.00,.00,-.292E-07,.282E-02,.219E-01,.00,.00,.00,.00,                                        ,                                        
365,12,31,2018,6,6,hru00006        ,39.4,1.15,1.15,.196E-02,.00,.196E-02,.00,39.4,.00,.00,39.4,.169E-02,56.3,.300E-05,.300E-05,.666,.645,.00,.00,.372E-01,.101E+04,.00,.00,.00,.00,.00,.169E-02,.00,.00,.00,.00,.00,.00,.00,.00,-.645E-07,.709E-03,.720E-02,.00,.00,.00,.00,                                        ,                                        
365,12,31,2018,7,7,hru00007        ,39.4,1.15,1.15,.205E-02,.590E-05,.206E-02,.00,39.4,.00,.00,39.4,.169E-02,56.3,.300E-05,.300E-05,.666,.645,.00,.00,.372E-01,.101E+04,.00,.00,.00,.00,.00,.169E-02,.00,.00,.590E-05,.00,.00,.00,.00,.00,-.108E-06,.860E-05,.192E-01,.00,.00,.00,.00,                                        ,                                        
365,12,31,2018,8,8,hru00008        ,40.9,2.79,2.79,.199E-03,.00,.199E-03,.00,40.9,.00,.00,40.9,.00,57.1,.300E-05,.300E-05,.698,.698,.00,.00,.220,.104E+04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.165E-06,.164E-03,.00,.00,.00,.00,.00,                                        ,                                        
365,12,31,2018,9,9,hru00009        ,40.9,2.79,2.79,.104E-03,.00,.104E-03,.00,40.9,.00,.00,40.9,.00,57.1,.300E-05,.300E-05,.698,.698,.00,.00,.220,.104E+04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.165E-06,.260E-03,.00,.00,.00,.00,.00,                                        ,                                        
