rec_ann Generated from M:\Constructor\HUC8_models\models\07010101.accdb Time: 2/13/2025 7:48:02 PM
61
        JDAY          MO      DAY_MO         YRC  OB_TYP       OB_NAME    FLO    SED   ORGN   SEDP    NO3   SOLP   CHLA    NH3  REDAY   CBOD    DOX    SAN    SIL    CLA    SAG    LAG    GRV   TEMP
           1           1           1        1960   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1961   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1962   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1963   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1964   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1965   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1966   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1967   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1968   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1969   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1970   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1971   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1972   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1973   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1974   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1975   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1976   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1977   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1978   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1979   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1980   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1981   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1982   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1983   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1984   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1985   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1986   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1987   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1988   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
