 ceap_07010101             SWAT+ @TODAY@        MODULAR Rev @YEAR@.@SWAT_VERSION@   April 17_NAM          
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
    31     1    31  2000       1       1  m_2_1                0.3649E+00     0.1251E+02     0.1665E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.1431E-09     0.4294E-09     0.2862E-09     0.2862E-09     0.0000E+00     0.2934E-37     0.2934E-37     0.0000E+00     0.0000E+00     0.6058E-07     0.6058E-07     0.6058E-07     0.6058E-07     0.6058E-07     0.0000E+00    -0.3104E+01     0.5125E-09     0.2905E-07     0.1373E-06     0.4118E-06     0.1373E-06     0.1373E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2905E-04     0.2905E-04     0.2905E-04     0.2905E-04     0.2905E-04     0.0000E+00     0.0000E+00     0.1180E-03     0.3053E+00     0.7088E-07     0.2126E-06     0.1350E-06     0.1305E-06     0.0000E+00     0.1272E-04     0.1101E-05     0.0000E+00     0.1454E-01     0.2899E-04     0.2899E-04     0.2899E-04     0.2899E-04     0.2899E-04     0.0000E+00    -0.8902E+00    -0.3104E+01
    60     2    29  2000       1       1  m_2_1                0.3649E+00     0.4692E+02     0.3222E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.1584E-09     0.4320E-09     0.3503E-09     0.2867E-09     0.3256E-06     0.0000E+00     0.0000E+00     0.6339E-15     0.2195E-07     0.6058E-07     0.6058E-07     0.6058E-07     0.6058E-07     0.6058E-07     0.0000E+00     0.8548E+01     0.3234E-05     0.9160E-03     0.5570E-02     0.1225E-02     0.3290E-01     0.3326E-03     0.2248E+02     0.0000E+00     0.0000E+00     0.1460E-05     0.7900E+00     0.2530E-04     0.2530E-04     0.2530E-04     0.2530E-04     0.2530E-04     0.0000E+00     0.4400E+01     0.2067E-04     0.0000E+00     0.2876E-02     0.6327E-03     0.3281E-01     0.3125E-03     0.5390E-01     0.9547E-04     0.1318E-05     0.1311E-05     0.2613E+00     0.2530E-04     0.2530E-04     0.2530E-04     0.2530E-04     0.2530E-04     0.0000E+00     0.2929E+01     0.8548E+01
    91     3    31  2000       1       1  m_2_1                0.3649E+00     0.1046E+03     0.1027E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.4206E-09     0.4798E-09     0.8039E-06     0.2908E-09     0.2884E-05     0.0000E+00     0.0000E+00     0.2521E-13     0.7562E-06     0.6062E-07     0.6058E-07     0.6058E-07     0.6059E-07     0.6060E-07     0.0000E+00     0.9560E+01     0.2409E-04     0.2204E-01     0.1106E+00     0.2441E-01     0.1457E+00     0.4212E-02     0.2481E+02     0.0000E+00     0.0000E+00     0.3349E-06     0.1394E+01     0.6275E-02     0.4624E-03     0.2779E-03     0.2582E-02     0.3312E-02     0.0000E+00     0.1103E+02     0.5933E-04     0.0000E+00     0.5709E-01     0.1261E-01     0.1438E+00     0.3812E-02     0.1454E+00     0.2053E-02     0.1934E-05     0.2341E-06     0.1443E+00     0.6275E-02     0.4624E-03     0.2779E-03     0.2582E-02     0.3312E-02     0.0000E+00     0.9596E+01     0.9560E+01
   121     4    30  2000       1       1  m_2_1                0.3649E+00     0.1026E+03     0.6867E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.1431E-09     0.4294E-09     0.2862E-09     0.2862E-09     0.1414E-14     0.0000E+00     0.0000E+00     0.2068E-24     0.1115E-17     0.6058E-07     0.6058E-07     0.6058E-07     0.6058E-07     0.6058E-07     0.0000E+00     0.1247E+02     0.4049E-05     0.2413E-02     0.9802E-02     0.2186E-02     0.7657E-01     0.4971E-03     0.3667E+02     0.0000E+00     0.0000E+00     0.7792E-06     0.3111E+00     0.6874E-02     0.5031E-03     0.3005E-03     0.2826E-02     0.3627E-02     0.0000E+00     0.4176E+01     0.4098E-04     0.0000E+00     0.5062E-02     0.1129E-02     0.7641E-01     0.4613E-03     0.7910E-01     0.1517E-03     0.2310E-05     0.7007E-06     0.2490E+00     0.6874E-02     0.5031E-03     0.3005E-03     0.2826E-02     0.3627E-02     0.0000E+00     0.5379E+01     0.1247E+02
   152     5    31  2000       1       1  m_2_1                0.3649E+00     0.2002E+03     0.1219E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.1431E-09     0.4294E-09     0.3233E-03     0.2862E-09     0.6235E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4611E-04     0.3252E-05     0.1888E-05     0.1888E-04     0.2427E-04     0.0000E+00     0.1454E+02     0.1852E-06     0.4061E-04     0.1373E-06     0.4118E-06     0.4780E-01     0.1373E-06     0.2265E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1900E-01     0.1360E-02     0.7985E-03     0.7792E-02     0.1001E-01     0.0000E+00     0.1412E+02     0.7039E-04     0.0000E+00     0.7088E-07     0.2126E-06     0.4780E-01     0.1305E-06     0.2283E-02     0.3381E-04     0.4135E-05     0.0000E+00     0.1140E+00     0.1896E-01     0.1356E-02     0.7966E-03     0.7773E-02     0.9986E-02     0.0000E+00     0.1469E+02     0.1454E+02
   182     6    30  2000       1       1  m_2_1                0.3649E+00     0.5316E+03     0.4341E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.2569E-09     0.4555E-09     0.6606E-06     0.2882E-09     0.1722E-05     0.0000E+00     0.0000E+00     0.6638E-15     0.3438E-07     0.6058E-07     0.6058E-07     0.6058E-07     0.6058E-07     0.6058E-07     0.0000E+00     0.1851E+02     0.4270E-03     0.6647E+01     0.5526E+02     0.1470E+02     0.3022E+00     0.5626E+00     0.9321E+02     0.0000E+00     0.0000E+00     0.1362E-05     0.8477E+00     0.1036E+00     0.7319E-02     0.4255E-02     0.4242E-01     0.5059E-01     0.0000E+00     0.1620E+02     0.6154E-03     0.0000E+00     0.2773E+02     0.7593E+01     0.1962E+00     0.3218E+00     0.3243E+01     0.1287E+01     0.4635E-05     0.3298E-07     0.1400E+01     0.1036E+00     0.7322E-02     0.4257E-02     0.4244E-01     0.5061E-01     0.0000E+00     0.1611E+02     0.1851E+02
   213     7    31  2000       1       1  m_2_1                0.3649E+00     0.2171E+03     0.2116E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.7570E-06     0.2032E-06     0.6042E-09     0.2973E-07     0.2235E-01     0.0000E+00     0.0000E+00     0.3558E-12     0.2813E-04     0.6144E-07     0.6062E-07     0.6060E-07     0.6086E-07     0.6094E-07     0.0000E+00     0.2266E+02     0.1195E-03     0.2330E+00     0.2348E+01     0.6304E+00     0.1407E-02     0.9931E-01     0.7464E+02     0.0000E+00     0.0000E+00     0.4255E-06     0.3352E+00     0.1378E-02     0.1183E-03     0.7855E-04     0.5769E-03     0.7354E-03     0.0000E+00     0.2061E+02     0.1927E-03     0.0000E+00     0.1175E+01     0.3255E+00     0.8235E-07     0.8899E-01     0.5312E+00     0.6639E-01     0.6622E-05     0.7624E-08     0.5493E+00     0.1378E-02     0.1183E-03     0.7855E-04     0.5769E-03     0.7354E-03     0.0000E+00     0.2051E+02     0.2266E+02
   244     8    31  2000       1       1  m_2_1                0.3649E+00     0.5336E+03     0.3885E+02     0.0000E+00     0.5023E+02     0.0000E+00     0.6400E-01     0.1668E-01     0.1658E-03     0.1097E-01     0.7642E-01     0.0000E+00     0.0000E+00     0.2286E-09     0.7186E-06     0.6373E-03     0.4495E-04     0.2610E-04     0.2609E-03     0.3354E-03     0.0000E+00     0.1845E+02     0.6293E-03     0.6093E+00     0.6615E+01     0.1739E+01     0.6181E-02     0.4124E+00     0.1253E+02     0.0000E+00     0.0000E+00     0.8307E-06     0.1462E+01     0.5392E-01     0.3817E-02     0.2224E-02     0.2209E-01     0.2768E-01     0.0000E+00     0.1833E+02     0.7953E-03     0.0000E+00     0.3313E+01     0.8981E+00     0.1837E-06     0.3839E+00     0.1161E+01     0.1677E+00     0.5826E-05     0.3301E-07     0.1930E+01     0.5328E-01     0.3772E-02     0.2198E-02     0.2183E-01     0.2735E-01     0.0000E+00     0.1840E+02     0.1845E+02
   274     9    30  2000       1       1  m_2_1                0.3649E+00     0.2109E+03     0.1877E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.1513E-09     0.4309E-09     0.2868E-09     0.2972E-09     0.3215E-06     0.0000E+00     0.0000E+00     0.2005E-18     0.5435E-06     0.6248E-07     0.6068E-07     0.6063E-07     0.6123E-07     0.6147E-07     0.0000E+00     0.1664E+02     0.4960E-04     0.3702E-03     0.1469E+00     0.3827E-01     0.5714E-03     0.2277E-01     0.4019E+01     0.0000E+00     0.0000E+00     0.1903E-05     0.1567E+01     0.4201E-01     0.2973E-02     0.1731E-02     0.1721E-01     0.1984E-01     0.0000E+00     0.1138E+02     0.1431E-03     0.0000E+00     0.7375E-01     0.1976E-01     0.2941E-03     0.2214E-01     0.1099E+00     0.3097E-02     0.3845E-05     0.1604E-05     0.2516E+00     0.4265E-01     0.3018E-02     0.1757E-02     0.1747E-01     0.2017E-01     0.0000E+00     0.1235E+02     0.1664E+02
   305    10    31  2000       1       1  m_2_1                0.3649E+00     0.2929E+03     0.1529E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.3609E-06     0.9177E-07     0.4310E-04     0.2250E-07     0.6493E-02     0.0000E+00     0.0000E+00     0.5512E-12     0.5587E-04     0.3170E-04     0.2236E-05     0.1298E-05     0.1298E-04     0.1668E-04     0.0000E+00     0.1048E+02     0.3404E-03     0.7435E+00     0.7060E+01     0.1754E+01     0.2441E+01     0.2969E+00     0.3078E+02     0.0000E+00     0.0000E+00     0.1628E-06     0.4430E+00     0.8311E-01     0.6293E-02     0.3660E-02     0.3646E-01     0.3084E-01     0.0000E+00     0.1377E+02     0.4440E-03     0.0000E+00     0.3646E+01     0.9055E+00     0.2325E+01     0.2682E+00     0.1687E+01     0.1492E+00     0.2889E-05     0.5064E-08     0.1074E+01     0.8308E-01     0.6290E-02     0.3658E-02     0.3645E-01     0.3082E-01     0.0000E+00     0.1320E+02     0.1048E+02
   335    11    30  2000       1       1  m_2_1                0.3649E+00     0.3948E+03     0.1520E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.1070E-06     0.2804E-07     0.1196E-06     0.4112E-08     0.4420E-02     0.0000E+00     0.0000E+00     0.1451E-13     0.1721E-05     0.6058E-07     0.6058E-07     0.6058E-07     0.6058E-07     0.6058E-07     0.0000E+00     0.1479E+01     0.4363E-03     0.1297E+01     0.1544E+02     0.3953E+01     0.1113E+01     0.5302E+00     0.1406E+03     0.0000E+00     0.0000E+00     0.6325E-06     0.1447E+01     0.1279E+00     0.9036E-02     0.5254E-02     0.5238E-01     0.6440E-01     0.0000E+00     0.1191E+02     0.5827E-03     0.0000E+00     0.7970E+01     0.2041E+01     0.8599E+00     0.4655E+00     0.2581E+01     0.3026E+00     0.1175E-05     0.2266E-07     0.1252E+01     0.1279E+00     0.9038E-02     0.5255E-02     0.5239E-01     0.6442E-01     0.0000E+00     0.1128E+02     0.1479E+01
   366    12    31  2000       1       1  m_2_1                0.3649E+00     0.5841E+02     0.8649E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1431E-09     0.4294E-09     0.2862E-09     0.2862E-09     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6058E-07     0.6058E-07     0.6058E-07     0.6058E-07     0.6058E-07     0.0000E+00    -0.8283E+01     0.5125E-09     0.2905E-07     0.1792E-06     0.4136E-06     0.1567E-06     0.1373E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2905E-04     0.2905E-04     0.2905E-04     0.2905E-04     0.2905E-04     0.0000E+00     0.0000E+00     0.2149E-04     0.0000E+00     0.9252E-07     0.2136E-06     0.1537E-06     0.1305E-06     0.0000E+00     0.1267E-04     0.1096E-05     0.0000E+00     0.6788E-01     0.2905E-04     0.2905E-04     0.2905E-04     0.2905E-04     0.2905E-04     0.0000E+00    -0.8399E+01    -0.8283E+01
