        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
           1           1           1        2000 chandeg m_4_199            17999.98       16.90600      4.8432943E-05  5.1819759E-05   284.4578      0.0000000E+00  0.0000000E+00  6.6223678E-05  2.3028328E-05  0.0000000E+00   325.1859      1.7525637E-06  1.7525637E-06  1.7525637E-06  1.7525637E-06  1.7525637E-06  0.0000000E+00 -0.7787499    
           2           1           2        2000 chandeg m_4_199            18400.47       16.11754      4.8312955E-05  5.2231524E-05   390.5853      0.0000000E+00  0.0000000E+00  6.6386718E-05  5.9060036E-05  0.0000000E+00   395.4888      3.7626075E-06  3.7626075E-06  3.7626075E-06  3.7626075E-06  3.7626075E-06  0.0000000E+00 -0.9662499    
           3           1           3        2000 chandeg m_4_199            19546.13       15.70770      4.7507056E-05  5.2463321E-05   436.8106      0.0000000E+00  0.0000000E+00  6.6293942E-05  5.9147449E-05  0.0000000E+00   491.5718      6.3713178E-06  6.3713178E-06  6.3713178E-06  6.3713178E-06  6.3713178E-06  0.0000000E+00 -0.3699999    
           4           1           4        2000 chandeg m_4_199            21684.97       15.49247      4.4259938E-05  5.1106636E-05   452.6458      0.0000000E+00  0.0000000E+00  6.5908142E-05  6.8108195E-05  0.0000000E+00   620.5211      9.8880182E-06  9.8880182E-06  9.8880182E-06  9.8880182E-06  9.8880182E-06  0.0000000E+00  -3.883750    
           5           1           5        2000 chandeg m_4_199            24928.64       15.30511      4.3549997E-05  5.1225103E-05   455.6453      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   799.0012      1.4542769E-05  1.4542769E-05  1.4542769E-05  1.4542769E-05  1.4542769E-05  0.0000000E+00  -6.928751    
           6           1           6        2000 chandeg m_4_199            29906.57       14.99490      3.3242526E-05  4.1201212E-05   456.1276      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1073.282      2.0489966E-05  2.0489966E-05  2.0489966E-05  2.0489966E-05  2.0489966E-05  0.0000000E+00  -2.545000    
           7           1           7        2000 chandeg m_4_199            37484.04       14.49722      3.0411997E-05  3.8823382E-05   454.3761      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1482.511      2.7857614E-05  2.7857614E-05  2.7857614E-05  2.7857614E-05  2.7857614E-05  0.0000000E+00  -8.860000    
           8           1           8        2000 chandeg m_4_199            48753.04       13.71206      1.6187509E-05  2.4022314E-05   451.0774      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   2044.174      3.6786252E-05  3.6786252E-05  3.6786252E-05  3.6786252E-05  3.6786252E-05  0.0000000E+00  -4.378750    
           9           1           9        2000 chandeg m_4_199            64159.43       12.71775      1.5861784E-05  2.3968645E-05   446.9203      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   2384.064      4.7238198E-05  4.7238198E-05  4.7238198E-05  4.7238198E-05  4.7238198E-05  0.0000000E+00   2.082500    
          10           1          10        2000 chandeg m_4_199            83363.20       10.60323      1.0431850E-05  1.6696862E-05   442.3619      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   2555.016      5.9008435E-05  5.9008435E-05  5.9008435E-05  5.9008435E-05  5.9008435E-05  0.0000000E+00   2.607500    
          11           1          11        2000 chandeg m_4_199            105003.7       8.277447      4.1664589E-06  8.0770469E-06   437.7534      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   2912.613      7.1557552E-05  7.1557552E-05  7.1557552E-05  7.1557552E-05  7.1557552E-05  0.0000000E+00  -2.706250    
