 ceap_07010101             SWAT+ @TODAY@        MODULAR Rev @YEAR@.@SWAT_VERSION@   April 17_NAM          
   jday   mon   day    yr   unit  gis_id  name                    in_sed         out_sed        fp_dep         ch_dep        bank_ero        bed_ero         in_no3        in_orgn        out_no3       out_orgn         fp_no3        bank_no3       bed_no3        fp_orgn        ch_orgn        bank_orgn      bed_orgn       in_solp        in_orgp        out_solp       out_orgp       fp_solp        bank_solp      bed_solp       fp_orgp        ch_orgp        bank_orgp      bed_orgp       no3_orgn       solp_orgp      
                                                                    tons            tons          tons           tons            tons           tons           tons           tons           tons          tons           tons           tons           tons           tons            tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons           tons         
    31     1    31  2000       1       1  m_2_1                0.2905E-07     0.3053E+00     0.2905E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.1373E-06     0.1373E-06     0.1350E-06     0.7088E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.6863E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.1373E-06     0.4118E-06     0.1305E-06     0.2126E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.2059E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.2248E-08     0.6745E-08
    60     2    29  2000       1       1  m_2_1                0.9160E-03     0.0000E+00     0.9160E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.3290E-01     0.5570E-02     0.3281E-01     0.2876E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2785E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.3326E-03     0.1225E-02     0.3125E-03     0.6327E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.6126E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.9124E-04     0.2007E-04
    91     3    31  2000       1       1  m_2_1                0.2204E-01     0.0000E+00     0.2204E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1457E+00     0.1106E+00     0.1438E+00     0.5709E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.5528E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.4212E-02     0.2441E-01     0.3812E-02     0.1261E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1221E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1811E-02     0.3999E-03
   121     4    30  2000       1       1  m_2_1                0.2413E-02     0.0000E+00     0.2413E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.7657E-01     0.9802E-02     0.7641E-01     0.5062E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.4901E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.4971E-03     0.2186E-02     0.4613E-03     0.1129E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1093E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1606E-03     0.3580E-04
   152     5    31  2000       1       1  m_2_1                0.4061E-04     0.0000E+00     0.4061E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.4780E-01     0.1373E-06     0.4780E-01     0.7088E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.6863E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.1373E-06     0.4118E-06     0.1305E-06     0.2126E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.2059E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.2248E-08     0.6745E-08
   182     6    30  2000       1       1  m_2_1                0.6647E+01     0.0000E+00     0.6647E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.3022E+00     0.5526E+02     0.1962E+00     0.2773E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.2763E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.5626E+00     0.1470E+02     0.3218E+00     0.7593E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.7352E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.1060E+00     0.2409E+00
   213     7    31  2000       1       1  m_2_1                0.2330E+00     0.0000E+00     0.2330E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1407E-02     0.2348E+01     0.8235E-07     0.1175E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.1174E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.9931E-01     0.6304E+00     0.8899E-01     0.3255E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3152E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1407E-02     0.1033E-01
   244     8    31  2000       1       1  m_2_1                0.6093E+00     0.0000E+00     0.6093E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6181E-02     0.6615E+01     0.1837E-06     0.3313E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.3307E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.4124E+00     0.1739E+01     0.3839E+00     0.8981E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8696E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6181E-02     0.2849E-01
   274     9    30  2000       1       1  m_2_1                0.3702E-03     0.0000E+00     0.3702E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.5714E-03     0.1469E+00     0.2941E-03     0.7375E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.7347E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.2277E-01     0.3827E-01     0.2214E-01     0.1976E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1914E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.2773E-03     0.6269E-03
